51300055328,bec,228,264
51300056771,ddc,42,253
51300088839,eab,110,261
51300110838,ada,162,13
51300166787,bab,208,6
51300191756,bfc,142,158
51300279127,fff,249,111
51300291697,dde,228,204
51300318777,ceb,170,60
51300355448,ebe,169,104
51300416226,bcb,242,188
51300433285,fee,91,148
51300473532,cac,4,79
51300481108,ffb,105,206
51300498099,eca,268,246
51300501468,eeb,171,59
51300615641,ded,224,207
51300650269,eea,90,200
51300654521,adb,18,32
51300673982,ebc,136,71
51300711326,cde,137,73
51300738995,gbg,293,278
51300781443,dfe,104,200
51300805833,fef,284,187
51300829910,dfc,177,55
51300855445,aef,124,26
51300859036,cae,233,112
51300898841,eae,211,122
51300935329,ffa,150,144
51300964342,fab,186,123
51300969940,fgg,22,103
51300982646,egg,87,210
51301024836,bfc,97,151
51301049580,bcc,212,136
51301061479,eaa,279,104
51301071183,cff,156,106
51301074053,dag,74,75
51301091448,ffa,39,167
51301124926,fdf,49,12
51301141079,gad,5,58
51301143288,cca,203,99
51301198335,ggg,267,101
51301238120,add,79,108
51301297405,aec,10,188
51301314672,cgf,21,116
51301342487,gcd,286,257
51301377001,acb,205,154
51301381877,ged,83,270
51301393010,fda,241,14
51301406283,edc,57,241
51301415364,def,70,216
51301503117,dag,42,88
51301510671,ebb,155,249
51301517663,gbd,97,212
51301519744,gaa,105,193
51301520606,gca,128,34
51301533548,cbc,160,183
51301534099,aba,287,170
51301554866,bfa,24,250
51301590682,fgc,123,14
51301593134,dce,253,21
51301603062,ggf,58,260
51301607801,acf,161,136
51301650177,cca,87,93
51301677965,faa,105,241
51301683459,eed,156,132
51301712758,dfb,114,43
51301724611,bab,186,5
51301732415,gcg,91,196
51301762750,ggb,61,168
51301773523,adc,263,257
51301784267,fde,139,180
51301792972,gdf,193,217
51301822767,ceb,16,56
51301836880,abg,47,128
51301917882,cce,108,281
51301943089,fcc,236,238
51301989601,fbd,3,120
51301990872,efa,228,25
51302002697,gbf,296,55
51302005626,afa,139,226
51302019224,gcc,238,102
51302061940,bae,21,109
51302068013,aac,136,231
51302073769,gfd,81,195
51302091883,gda,144,288
51302094135,bcg,46,115
51302119852,bce,246,92
51302150310,abb,96,141
51302153950,fgd,1,184
51302187478,aba,214,195
51302190588,aec,104,219
51302195777,gcc,106,92
51302222923,fba,299,240
51302228622,fbe,261,120
51302276035,bfb,193,141
51302287385,gde,186,48
51302322690,fad,218,63
51302324529,gac,77,20
51302337839,eeb,162,60
51302352192,deb,96,32
51302357593,fef,122,198
51302365913,fcd,194,186
51302398112,cgd,262,13
51302418029,bdc,166,187
51302419493,gag,63,116
51302420186,ddg,58,153
51302422078,ggd,275,233
51302426297,fac,183,97
51302466831,bgg,108,295
51302477605,dge,83,47
51302508545,bgc,38,108
51302517826,fab,252,111
51302517954,dbe,231,116
51302537482,gea,254,10
51302553167,cgb,179,188
51302613149,bec,279,271
51302624769,agg,238,168
51302649578,bda,47,207
51302666722,eee,210,94
51302775223,abg,1,148
51302791199,fgf,204,96
51302797728,bfg,222,74
51302821327,ebg,187,135
51302863944,caa,6,45
51302881094,aeb,207,296
51302890650,cfg,197,95
51302919949,bbb,146,37
51302980603,gba,182,217
51303008503,gfc,279,171
51303062660,bad,124,81
51303063045,bac,89,127
51303100183,cad,188,111
51303212033,bea,244,59
51303288756,dfb,48,49
51303312769,acg,62,199
51303319214,adf,286,27
51303353579,dgf,288,23
51303354044,bfe,151,283
51303359254,fcb,68,46
51303361594,ccb,241,272
51303377126,gba,208,253
51303395293,bff,163,38
51303412981,eba,124,66
51303417137,ede,117,90
51303436987,bbf,134,148
51303466618,ddf,225,290
51303467711,daf,149,122
51303479376,cba,148,234
51303518678,cef,60,287
51303523781,fcf,30,221
51303542367,dba,215,99
51303546757,aca,188,134
51303594035,feb,134,111
51303603243,gab,11,48
51303609870,cfe,37,219
51303612237,fff,246,111
51303624014,fbb,245,94
51303628500,aea,261,277
51303628591,ada,2,15
51303644924,bba,207,16
51303677124,geb,248,249
51303679483,afg,70,19
51303681313,efd,128,28
51303688022,fbg,76,137
51303735954,ccd,66,244
51303769720,cdb,257,213
51303786749,aaa,36,80
51303793523,cbe,275,154
51303909343,gdf,5,173
51303945529,cad,278,103
51303955283,bda,102,244
51303989814,ade,37,240
51304001691,bfe,212,316
51304065393,bda,150,239
51304087004,agf,146,225
51304105590,bfd,165,161
51304115377,daa,71,53
51304152722,gcg,74,219
51304182127,fae,120,193
51304182446,caf,117,239
51304203593,dfb,269,39
51304228000,bce,4,86
51304257236,dbc,289,292
51304287764,fcb,244,38
51304293968,dgc,75,65
51304313288,bgb,63,26
51304330741,cff,236,100
51304331239,cag,51,231
51304356658,eec,189,89
51304368935,bcd,206,90
51304368987,bbe,247,59
51304381340,dbb,273,186
51304388601,eaa,186,116
51304393614,aed,228,256
51304409796,bad,97,72
